lat,lon,score
47.6685496911971,-122.410888552672,1
47.6499661239867,-122.408897072105,1
47.5709472772646,-122.399535441174,1
47.5478826160717,-122.395955180413,1
47.694181372885,-122.39367248596,1
47.5370168038555,-122.395118366488,1
47.6960506432959,-122.39023990196,1
47.5358475898627,-122.389718764142,1
47.771599507164,-122.385920197441,1
47.5858871072084,-122.386582746637,1
47.5574747886895,-122.383610390237,2
47.7614676492097,-122.380401538983,2
47.6960851097103,-122.380832360968,1
47.5258450983844,-122.382032203047,2
47.7469137389508,-122.378877108638,1
47.4506092120424,-122.381752401225,1
47.7011980228792,-122.37849281288,2
47.7633102172314,-122.374828771854,1
47.5744630170439,-122.375996925198,1
47.5833805687789,-122.375630956181,1
47.6341031843409,-122.37273343435,1
47.708450631858,-122.370710800806,1
47.4964744689658,-122.372416241343,1
47.6261772319734,-122.36901652242,1
47.5055019758957,-122.369829871454,2
47.5397578346771,-122.366652069766,2
47.7581627209718,-122.362544831333,1
47.4947976913331,-122.365332212193,1
47.6235340406734,-122.363248891731,1
47.5713576467014,-122.361954826381,1
47.7241554196089,-122.358249656969,1
47.7571480233789,-122.356392976358,1
47.4589264786251,-122.358653664191,1
47.5354996411893,-122.357042491789,2
47.6566820609671,-122.354968440824,1
47.7351805332999,-122.350530764489,1
47.7492444779937,-122.349414578237,1
47.4625596137495,-122.352666456895,1
47.5731021479154,-122.349682945545,2
47.7655174682933,-122.345268549423,1
47.755211379825,-122.34492794788,2
47.5144147278325,-122.347723964438,2
47.4930772860989,-122.345836786821,1
47.7304913472701,-122.342186033223,1
47.4979957276266,-122.341759630566,1
47.6945617977157,-122.33918680893,1
47.4945970064291,-122.33975603253,1
47.7195689953846,-122.336594506518,1
47.4957656161249,-122.337324909652,1
47.4953296815001,-122.336354530314,1
47.5628753730893,-122.335206560121,1
47.7668743990002,-122.331740988605,1
47.6903947821725,-122.331059277778,2
47.7131305711191,-122.329293198139,1
47.7407848272655,-122.327991005024,1
47.5103666134587,-122.329218960442,1
47.6444927862568,-122.327254055653,1
47.4579383477837,-122.329120476421,1
47.4578498494553,-122.32717148735,1
47.7583337305005,-122.322654207071,1
47.6308777143371,-122.323789377938,1
47.4609603623082,-122.325001807254,1
47.6334298436742,-122.321384239096,1
47.6618060103648,-122.320724585911,2
47.736347337514,-122.319377586626,2
47.7649445997708,-122.318840283888,4
47.555621910043,-122.318820117246,2
47.7602199542257,-122.314782697771,1
47.7666452050169,-122.314072903712,1
47.5608963364073,-122.314509109475,1
47.5586581977899,-122.314165702403,2
47.6957819967863,-122.310023080355,1
47.638508959086,-122.310561559948,1
47.5221696999457,-122.310948287524,1
47.7222408417287,-122.305924922704,1
47.4767749314639,-122.306238445458,1
47.6721050041932,-122.302958073578,2
47.6993514066381,-122.301565033249,1
47.5525911004619,-122.30346146073,1
47.6902598140456,-122.300204594515,1
47.5692020810654,-122.301170545717,1
47.7356076638361,-122.298780188192,2
47.7468906470162,-122.294133586442,1
47.7494505587932,-122.292782285186,2
47.5879816293298,-122.292014513687,1
47.7668757537094,-122.287204975946,1
47.4768306687823,-122.289715027208,1
47.7310517769969,-122.28582123356,1
47.4738435134555,-122.288505043138,1
47.526713179502,-122.287119911824,1
47.7618242821834,-122.282606961563,1
47.70041952647,-122.281382975454,1
47.6146849357531,-122.282294813327,1
47.529268790129,-122.280760743574,1
47.4605763183588,-122.27978665885,1
47.7621858971187,-122.275117279496,1
47.6812210639685,-122.275418622989,1
47.7750172709343,-122.273232662202,1
47.6922069383261,-122.273112937176,1
47.4814649954915,-122.270357620444,1
47.6759255280665,-122.266186142653,1
47.6835116988711,-122.260411801231,1
47.5164366217393,-122.255990951598,1
47.4900670601373,-122.255013339971,1
47.4969454228465,-122.253670944153,1
47.5079414214665,-122.235080411898,1
47.6614375401379,-122.433837795497,1
47.661289450136,-122.430782995292,1
47.6605737604343,-122.430716394919,3
47.6609476882285,-122.419965607571,2
47.6528737619664,-122.419518775397,1
47.6607458357429,-122.419336991762,2
47.5763958816012,-122.419764589587,1
47.6678844832735,-122.418621128294,1
47.6504845777377,-122.418492527885,1
47.5751333442364,-122.419091131693,2
47.5767788817773,-122.418972474551,3
47.6512183381667,-122.418062959725,1
47.6541146862557,-122.417937692958,2
47.668549101248,-122.417715856688,1
47.6695034557749,-122.417372734362,1
47.575972237198,-122.418155001822,1
47.6603294352217,-122.417198858926,3
47.575588868977,-122.41810586655,1
47.6603354431945,-122.417131633237,1
47.6516039101258,-122.416702865019,3
47.6432478331253,-122.416651912974,1
47.5764344086421,-122.416643208386,1
47.5742908621323,-122.416660709242,1
47.6659856439731,-122.415632558433,2
47.5768424436514,-122.41662218339,2
47.6487485917312,-122.415492774639,1
47.6460039165388,-122.415464556757,1
47.5742630576001,-122.416154252655,3
47.6598396018394,-122.415181748622,4
47.6607722538644,-122.415134058481,1
47.6509876913306,-122.415103555774,1
47.6504348609237,-122.415105105263,1
47.6700016425391,-122.414873542965,1
47.6442775669889,-122.414981422525,1
47.6450953876658,-122.414966199398,3
47.6607987027838,-122.414677361154,4
47.6615125680041,-122.414619738995,1
47.6558685598306,-122.414570996135,4
47.5772094232774,-122.415282608641,2
47.6486193839536,-122.414220781107,4
47.6504373379266,-122.414192693018,4
47.5736397778917,-122.414757067811,4
47.5742112435653,-122.414744728173,5
47.5759593136311,-122.414654182228,4
47.6526775079864,-122.413572369824,5
47.6431597434084,-122.413267781146,1
47.6765244311156,-122.400103079506,1
47.6541000658265,-122.413137181571,4
47.6544186860433,-122.413113542751,3
47.6486229438789,-122.413145043924,4
47.6467968519618,-122.413150513819,4
47.6698292429587,-122.412884178288,4
47.6581830618006,-122.413013435988,1
47.6711164836018,-122.412850817289,2
47.6573455755319,-122.412974987847,1
47.6711403070114,-122.412755126106,1
47.6563766418084,-122.412724897611,1
47.6562453172926,-122.412519601503,5
47.5759428167471,-122.413350202718,4
47.6513382358091,-122.412373529833,4
47.6700428054677,-122.412148061226,1
47.6599623390214,-122.41213623739,1
47.6601188645171,-122.412058480811,5
47.6694570371618,-122.411952953877,2
47.6441772571114,-122.412225702594,1
47.6414112096278,-122.412248152055,4
47.6693890131908,-122.411929130347,1
47.642677830121,-122.412150217685,4
47.6504487785721,-122.411939037787,5
47.6486241077902,-122.411946663735,4
47.646799283214,-122.411953728733,4
47.6565443592837,-122.411667668167,2
47.6416745633724,-122.411742462991,4
47.6705247606768,-122.411281033819,1
47.6430272458974,-122.41150516871,2
47.5741184959053,-122.412099033964,4
47.5759234147662,-122.412045071025,4
47.6419375802852,-122.411237408871,4
47.6704799311839,-122.410882132055,2
47.6696481114359,-122.410833225826,2
47.6449847725138,-122.410951044889,4
47.6486259998526,-122.410749080927,4
47.6602862140032,-122.410607132699,2
47.6468024670007,-122.410756945971,4
47.6713368417378,-122.410418301425,1
47.6520679312563,-122.410533970125,4
47.6684276417685,-122.410181097316,2
47.6400139623433,-122.410455398404,4
47.6459577875468,-122.40463490404,2
47.639925950837,-122.410335660346,4
47.6544837617897,-122.410098781253,1
47.6713231338182,-122.409747614347,2
47.5723026375709,-122.410846685868,4
47.5741007129727,-122.410794763494,4
47.5759060984633,-122.410739306833,4
47.6403139457087,-122.409996214821,4
47.5777417057077,-122.41068633046,4
47.6696673449369,-122.409596363176,1
47.6695366141844,-122.40953030083,2
47.6402051596526,-122.409811894165,3
47.641351594509,-122.409685941049,4
47.6449873639133,-122.409623228501,4
47.6504489652675,-122.409557460831,4
47.6486278585585,-122.409563647438,4
47.6468058340047,-122.409572337306,4
47.6677573977887,-122.409312204254,3
47.6713261811776,-122.409224516816,2
47.6402809374096,-122.40943495835,4
47.6695359522922,-122.409093019487,4
47.6522818040076,-122.408959911526,4
47.6472622688078,-122.408975635019,2
47.5710973224619,-122.409682236178,2
47.6695351574989,-122.408568677266,4
47.682720397983,-122.403182649246,2
47.5719168874923,-122.409562078019,1
47.572285265189,-122.409557130134,4
47.6677954031726,-122.408451030453,1
47.6677616402481,-122.408449740201,2
47.5714022290031,-122.409492659348,1
47.5758883675423,-122.409436647668,4
47.5777243470011,-122.409383012161,4
47.6479963825136,-122.408474038804,2
47.6405912594514,-122.408512551306,4
47.6449897636028,-122.40838579527,4
47.6458987823584,-122.408370718936,1
47.646803783649,-122.408359250654,1
47.6428284947209,-122.408389961183,2
47.5685637582401,-122.409113204077,3
47.6695387930756,-122.40796339847,1
47.6650232741131,-122.407982623907,2
47.572241735383,-122.408988789391,1
47.5658766641237,-122.403884394266,2
47.6650955906652,-122.407813568221,2
47.6408678371791,-122.408058463576,4
47.6522788317731,-122.407887485037,4
47.6499840220821,-122.407894547886,1
47.6495026432257,-122.407895441502,4
47.5701356918289,-122.408493149442,4
47.6412131739793,-122.407684048618,4
47.5685592188617,-122.408454776843,4
47.5675162954003,-122.408462726706,4
47.5722674031053,-122.408299288672,4
47.5735661981308,-122.40825409997,1
47.6381399235996,-122.407455298911,4
47.5759291574422,-122.408129682905,6
47.577706970305,-122.408079053524,4
47.6420910329062,-122.407306261206,4
47.5736824680891,-122.408066464772,1
47.5736919909291,-122.408065671356,1
47.5737022450861,-122.408064900316,1
47.5754305334417,-122.408034554312,3
47.5750337685025,-122.407993212544,1
47.6449922749075,-122.407084972052,4
47.5754140241259,-122.407794349407,1
47.6384907258553,-122.407061668871,4
47.5685565620258,-122.407812254475,2
47.56684417789,-122.407821800309,1
47.6522758513508,-122.406815885686,4
47.6499843230111,-122.406822060436,1
47.649502800179,-122.406821852223,4
47.6486284622866,-122.406821473393,4
47.6479805069708,-122.406816302392,3
47.5690330702596,-122.407572628089,3
47.6758224001635,-122.406364242516,2
47.6727601399361,-122.406342367279,2
47.6770330421722,-122.406289883196,2
47.5663976434207,-122.407465545433,4
47.5717160319918,-122.407368015882,2
47.5706237509765,-122.407379598329,1
47.5700637532485,-122.407342137696,3
47.5794876134241,-122.407070125558,3
47.5711195946146,-122.407078905002,1
47.5649261359024,-122.407076450909,3
47.569077150013,-122.40697587686,1
47.6399253870047,-122.406169545425,4
47.6495029467668,-122.405747568988,4
47.6395416845777,-122.406122595749,6
47.5740621691194,-122.406845969206,1
47.641905464207,-122.406076967956,4
47.5750109551548,-122.406811032102,2
47.5727486287875,-122.406797172521,1
47.6635232024319,-122.405746546506,1
47.577760205107,-122.406713201444,4
47.5794305881352,-122.406656275257,3
47.5683836950131,-122.406763506115,2
47.6721290662654,-122.405570508049,6
47.6455749578981,-122.405864755782,1
47.6533287057527,-122.405737311373,2
47.6449452323099,-122.405829728651,4
47.6522732404459,-122.405742264829,4
47.6504482070892,-122.405750834052,4
47.5649714186836,-122.40671386967,2
47.6635021894906,-122.405591697486,4
47.6486291692999,-122.405744546055,4
47.6468130330181,-122.405751141965,2
47.6635101785039,-122.40542438375,1
47.6727365178838,-122.405309351436,2
47.6770317699723,-122.405194577727,1
47.6450107111617,-122.405519235173,1
47.6376898328866,-122.405566402432,2
47.5735594613295,-122.406212535292,1
47.6461697195207,-122.405264697759,1
47.5711033271022,-122.406045439237,4
47.6753197931943,-122.404858318789,1
47.5702943753418,-122.406035180545,1
47.6758153498583,-122.404819573462,2
47.6770293443226,-122.404802981097,2
47.6739230564528,-122.404790929648,1
47.6780945316011,-122.404728019664,1
47.6752599671009,-122.404739039891,2
47.5656365313992,-122.405932222997,1
47.6742274576568,-122.404674194373,1
47.6739203438538,-122.40467704789,4
47.6744560646818,-122.404671055122,1
47.5778333197914,-122.405412566297,2
47.6774655264969,-122.404611048844,1
47.5693869083954,-122.405798535154,1
